param			w			W_T			dkr1			W			dkv1_of			supp	load	G			dkr1_k			
14.02.2018_1:23:08	525.100158691406	2.54859298706055	1.85909980430528	2.4853228962818		0.0158730158730149	0	1	36.7906074523926	6.20352250489237	
14.02.2018_1:23:10	525.100158691406	2.54859298706055	1.85909980430528	2.4853228962818		0.0158730158730149	0	1	36.6927604675293	6.20352250489237	
14.02.2018_1:23:11	525.100158691406	2.54859298706055	1.83953033268102	2.4853228962818		0.0185676392572940	0	1	36.8884544372559	6.1839530332681		
14.02.2018_1:23:13	525.100158691406	2.54859298706055	1.83953033268102	2.4853228962818		0.0185676392572940	0	1	36.7906074523926	6.1839530332681		
14.02.2018_1:23:14	525.100158691406	2.54859298706055	1.83953033268102	2.4853228962818		0.0158730158730149	0	1	37.0841484069824	6.20352250489237	
14.02.2018_1:23:15	525.100158691406	2.54859298706055	1.83953033268102	2.4853228962818		0.0158730158730149	0	1	37.1819953918457	6.1839530332681		
14.02.2018_1:23:17	525.203979492188	2.54859298706055	1.85909980430528	2.4853228962818		0.0158730158730149	0	1	36.8884544372559	6.20352250489237	
14.02.2018_1:23:18	525.203979492188	2.54859298706055	1.83953033268102	2.4853228962818		0.0185676392572940	0	1	36.9863014221191	6.1839530332681		
14.02.2018_1:23:20	525.203979492188	2.54859298706055	1.83953033268102	2.4853228962818		0.0158730158730149	0	1	36.8884544372559	6.1839530332681		
14.02.2018_1:23:21	525.203979492188	2.54859298706055	1.83953033268102	2.47553816046967	0.0185676392572940	0	1	37.0841484069824	6.1839530332681		
14.02.2018_1:23:23	525.203979492188	2.54859298706055	1.83953033268102	2.4853228962818		0.0158730158730149	0	1	37.0841484069824	6.20352250489237	
14.02.2018_1:23:24	525.203979492188	2.54859298706055	1.83953033268102	2.4853228962818		0.0158730158730149	0	1	36.6927604675293	6.1839530332681		
14.02.2018_1:23:25	525.307739257813	2.54859298706055	1.83953033268102	2.4853228962818		0.0185676392572940	0	1	36.6927604675293	6.1839530332681		
14.02.2018_1:23:27	525.307739257813	2.54859298706055	1.83953033268102	2.4853228962818		0.0158730158730149	0	1	36.6927604675293	6.1839530332681		
14.02.2018_1:23:28	525.307739257813	2.54859298706055	1.83953033268102	2.4853228962818		0.0158730158730149	0	1	36.6927604675293	6.1839530332681		
14.02.2018_1:23:30	525.307739257813	2.54859298706055	1.83953033268102	2.4853228962818		0.0158730158730149	0	1	36.9863014221191	6.1839530332681		
14.02.2018_1:23:31	525.307739257813	2.54859298706055	1.83953033268102	2.47553816046967	0.0158730158730149	0	1	36.9863014221191	6.1839530332681		
14.02.2018_1:23:32	525.307739257813	2.54859298706055	1.83953033268102	2.4853228962818		0.0158730158730149	0	1	36.8884544372559	6.1839530332681		
14.02.2018_1:23:34	525.411376953125	2.54859298706055	1.85909980430528	2.4853228962818		0.0131926121372030	0	1	37.0841484069824	6.20352250489237	
14.02.2018_1:23:35	525.411376953125	2.54859298706055	1.83953033268102	2.4853228962818		0.0158730158730149	0	1	36.8884544372559	6.1839530332681		
14.02.2018_1:23:37	525.411376953125	2.54859298706055	1.85909980430528	2.4853228962818		0.0131926121372030	0	1	36.8884544372559	6.20352250489237	
14.02.2018_1:23:38	525.411376953125	2.54859298706055	1.83953033268102	2.4853228962818		0.0131926121372030	0	1	36.8884544372559	6.20352250489237	
14.02.2018_1:23:40	525.411376953125	2.54859298706055	1.83953033268102	2.4853228962818		0.0079575596816978	0	1	36.6927604675293	6.1839530332681		
14.02.2018_1:23:42	525.411376953125	2.54859298706055	1.85909980430528	2.4853228962818		0.0131926121372030	0	1	36.6927604675293	6.20352250489237	
14.02.2018_1:23:43	525.515197753906	2.54859298706055	1.83953033268102	2.4853228962818		0.0079575596816978	0	1	36.9863014221191	6.1839530332681		
14.02.2018_1:23:45	525.515197753906	2.54859298706055	1.83953033268102	2.47553816046967	0.0079575596816978	0	1	36.7906074523926	6.1839530332681		
14.02.2018_1:23:46	525.515197753906	2.54859298706055	1.83953033268102	2.47553816046967	0.0079575596816978	0	1	37.1819953918457	6.1839530332681		
14.02.2018_1:23:48	525.515197753906	2.54859298706055	1.83953033268102	2.47553816046967	0.0079575596816978	0	1	36.8884544372559	6.16438356164384	
14.02.2018_1:23:49	525.515197753906	2.54859298706055	1.83953033268102	2.4853228962818		0.0079575596816978	0	1	36.9863014221191	6.1839530332681		
14.02.2018_1:23:51	525.515197753906	2.54859298706055	1.83953033268102	2.4853228962818		0.0079575596816978	0	1	36.9863014221191	6.1839530332681		
14.02.2018_1:23:52	525.618774414063	2.54859298706055	1.83953033268102	2.4853228962818		0.0079575596816978	0	1	36.6927604675293	6.1839530332681		
14.02.2018_1:23:54	525.618774414063	2.54859298706055	1.83953033268102	2.4853228962818		0.0079575596816978	0	1	36.8884544372559	6.1839530332681		
14.02.2018_1:23:55	525.618774414063	2.54859298706055	1.83953033268102	2.4853228962818		0.0052910052910050	0	1	36.9863014221191	6.1839530332681		
